282591	NA  [#33619-#316209]
202522	dër  [#706996-#909517]
118731	ër  [#2316629-#2435359]
114376	[!!]  [#331903-#446278]
70877	unte  [#1891211-#1962087]
54444	sîn  [#1749583-#1804026]
31518	ich  [#1185774-#1217291]
26853	dazz  [#618013-#644865]
24048	von  [#2016051-#2040098]
22879	haben  [#1089430-#1112308]
22699	èin  [#2275365-#2298063]
22347	mit  [#1407703-#1430049]
20144	dû  [#937716-#957859]
19958	ze  [#2218646-#2238603]
19339	in  [#1219317-#1238655]
19283	wësen  [#2188686-#2207968]
19034	wir  [#2100827-#2119860]
16955	all  [#472987-#489941]
16730	dô  [#920730-#937459]
16489	sô  [#1805044-#1821532]
16241	sol(e)n  [#1657630-#1673870]
15372	wërden  [#2170561-#2185932]
14848	niht  [#1492617-#1507464]
14343	[!]  [#447962-#462304]
14207	all-sô  [#492239-#506445]
13498	got  [#1036204-#1049701]
13174	ane  [#518380-#531553]
12817	hêrre  [#1160570-#1173386]
12041	dâr  [#680203-#692243]
11816	ir(e)  [#1257734-#1269549]
11305	sprëchen  [#1677280-#1688584]
11186	mîn  [#1451580-#1462765]
9651	dise  [#651671-#661321]
9305	wèllen  [#2149054-#2158358]
9191	ir  [#1248543-#1257733]
9050	vil(e)  [#1994181-#2003230]
8933	dîn  [#911757-#920689]
8708	unser  [#1882475-#1891182]
8184	tuon  [#1848584-#1856767]
8158	komen  [#1299794-#1307951]
7868	ouch  [#1558181-#1566048]
7559	guot  [#1059866-#1067424]
7447	sich  [#1638265-#1645711]
7127	mügen  [#1463146-#1470272]
6687	wol(e)  [#2129082-#2135768]
6569	wante  [#2083138-#2089706]
6550	man  [#1380471-#1387020]
6432	gëben  [#1077658-#1084089]
6171	nû  [#1538047-#1544217]
6056	sëlb  [#1742182-#1748237]
5810	oder  [#1549300-#1555109]
5709	unde  [#1876627-#1882335]
5404	mann  [#1391217-#1396620]
5241	ne  [#1478197-#1483437]
5140	durh  [#674092-#679231]
4818	ûf  [#2445626-#2450443]
4736	ander  [#512922-#517657]
4679	nâh  [#1521629-#1526307]
4583	tag  [#1827221-#1831803]
4502	hèizen  [#1150448-#1154949]
